#
# context: https://medium.com/@nusenu/towards-cleaning-up-rpki-invalids-d69b03ab8a8c
#
# columns in that order:
#-------------------------
# source (trust anchor name)
# ASN according to ROA
# prefix according to ROA
# maxLength according to ROA (not all ROAs have that field)
# INVALID reason (length or ASN mismatch)
# announcing AS
# prefix
RIPE NCC RPKI Root,AS34209,46.28.240.0/21,21,INVALID_ASN,AS62421,46.28.242.0/24
RIPE NCC RPKI Root,AS34209,46.28.240.0/21,21,INVALID_LENGTH,AS34209,46.28.246.0/24
RIPE NCC RPKI Root,AS35588,46.33.48.0/21,21,INVALID_LENGTH,AS35588,46.33.52.0/24
RIPE NCC RPKI Root,AS35588,46.33.48.0/21,21,INVALID_LENGTH,AS35588,46.33.53.0/24
RIPE NCC RPKI Root,AS35588,46.33.48.0/21,21,INVALID_LENGTH,AS35588,46.33.54.0/23
RIPE NCC RPKI Root,AS49970,46.143.192.0/18,24,INVALID_ASN,AS44400,46.143.204.0/22
RIPE NCC RPKI Root,AS49970,46.143.192.0/18,24,INVALID_ASN,AS57474,46.143.208.0/24
RIPE NCC RPKI Root,AS49970,46.143.192.0/18,24,INVALID_ASN,AS57474,46.143.209.0/24
RIPE NCC RPKI Root,AS49970,46.143.192.0/18,24,INVALID_ASN,AS57474,46.143.210.0/24
RIPE NCC RPKI Root,AS49970,46.143.192.0/18,24,INVALID_ASN,AS57474,46.143.211.0/24
RIPE NCC RPKI Root,AS49970,46.143.192.0/18,24,INVALID_ASN,AS61962,46.143.244.0/24
RIPE NCC RPKI Root,AS49970,46.143.192.0/18,24,INVALID_ASN,AS61962,46.143.245.0/24
RIPE NCC RPKI Root,AS49970,46.143.192.0/18,24,INVALID_ASN,AS50070,46.143.246.0/23
RIPE NCC RPKI Root,AS196729,46.148.80.0/20,20,INVALID_ASN,AS200414,46.148.80.0/20
RIPE NCC RPKI Root,AS39180,46.162.160.0/20,20,INVALID_ASN,AS49594,46.162.160.0/20
RIPE NCC RPKI Root,AS52122,46.255.184.0/21,21,INVALID_ASN,AS56934,46.255.184.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.160.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.161.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.162.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.163.0/24
